task_id,subject,grade,answer_type,difficulty,topic_area,question_image_url,reference_image_url,reference_answer,candidate_setup,candidate_answer,human_label,human_score_0_4,final_answer_correct,reasoning_correct,complete,reference_quality_issue,error_types,rationale,annotator
m0101,Mathematics,1,multi_answer,medium,Sayılar ve Nicelikler (Numbers & Quantities),https://yadi.sk/i/cUOvvL3xS5wxtQ,https://yadi.sk/i/hiu4AXE9muTrsA,,,,,,,,,,,,
m0102,Mathematics,1,multi_answer,easy,Ölçme ve Veri (Measurement & Data),https://yadi.sk/i/AqkL-B2euG6rJA,https://yadi.sk/i/wRdwdN4n9rkGkA,,,,,,,,,,,,
m0104,Mathematics,1,numeric,easy,Sayılar ve Nicelikler (Numbers & Quantities),https://yadi.sk/i/8-Y1srh2df0nrA,https://yadi.sk/i/EgESl5QnZHJ72w,,,,,,,,,,,,
m0108,Mathematics,1,multiple_choice,medium,Sayılar ve İşlemler (Numbers & Operations),https://yadi.sk/i/cud5DPhAaw_QwQ,https://yadi.sk/i/mLosAiRM7Hs8GA,C,,,,,,,,,,,
m0112,Mathematics,1,multiple_choice,easy,Nesnelerin Geometrisi (Geometry of Objects),https://yadi.sk/i/LIuusKt0W9dmAw,https://yadi.sk/i/ZQqqshKo0nnTiw,C,,,,,,,,,,,
m0201,Mathematics,2,multi_answer,easy,Sayılar ve İşlemler (Numbers & Operations),https://yadi.sk/i/1aRD2aO9QU55Ag,https://yadi.sk/i/kXTZnqjsy-qbEw,,,,,,,,,,,,
m0203,Mathematics,2,multiple_choice,medium,Nesnelerin Geometrisi (Geometry of Objects),https://yadi.sk/i/27M8utmETLi-VQ,https://yadi.sk/i/7-hOHC2qLHeuWw,B,,,,,,,,,,,
m0204,Mathematics,2,multiple_choice,hard,Sayılar ve İşlemler (Numbers & Operations),https://yadi.sk/i/ratXx0LLKz1vlg,https://yadi.sk/i/W6t5RNxVikGzmw,B,,,,,,,,,,,
m0207,Mathematics,2,numeric,easy,Ölçme ve Veri (Measurement & Data),https://yadi.sk/i/U9qKi0uxLgc9qQ,https://yadi.sk/i/8WBbGbkYkeSGrQ,,,,,,,,,,,,
m0208,Mathematics,2,multi_answer,medium,Ölçme ve Veri (Measurement & Data),https://yadi.sk/i/tROlndvqfrmA9A,https://yadi.sk/i/xZ_Lz_CfALNfQg,,,,,,,,,,,,
